role,source_field,scene_idx,ra_deg,dec_deg,z_phot_legacy,z_phot_err,legacy_morphology,F444W_peak_sim_units,compactness_F444W,has_F444W
lens_scene,primer_cosmos,96,149.995238,2.355770,0.740380,0.058929,EXP,975.047241,0.052462,True
lens_scene,primer_cosmos,97,149.920312,2.443239,0.373708,0.040261,REX,298.882690,0.125566,True
lens_scene,primer_cosmos,98,149.921053,2.417744,0.163161,0.025519,SER,505.376923,0.062861,True
lens_scene,primer_cosmos,99,149.922569,2.398633,0.903822,0.055020,DEV,1794.330078,0.210488,True
lens_scene,primer_cosmos,100,149.923335,2.385180,0.710369,0.047985,SER,632.730713,0.159994,True
lens_scene,primer_cosmos,101,149.924632,2.402824,0.926059,0.068991,REX,661.617004,0.186925,True
lens_scene,primer_cosmos,102,149.925640,2.388018,0.123673,0.018446,SER,201.572723,0.057338,True
lens_scene,primer_cosmos,103,149.925645,2.459539,0.512919,0.026420,REX,1174.276245,0.212812,True
lens_scene,primer_cosmos,104,149.925964,2.433474,0.236392,0.054397,SER,103.879066,0.086612,True
lens_scene,primer_cosmos,105,149.927449,2.394746,0.905975,0.091454,DEV,573.192505,0.207777,True
lens_scene,primer_cosmos,106,149.928540,2.398638,0.954711,0.094070,REX,100.296677,0.092886,True
lens_scene,primer_cosmos,107,149.928552,2.383325,0.896559,0.057427,REX,1466.798218,0.206563,True
lens_scene,primer_cosmos,108,149.929104,2.468245,0.746269,0.066500,EXP,242.253937,0.078299,True
lens_scene,primer_cosmos,109,149.929122,2.385291,0.389508,0.072338,SER,778.491760,0.100738,True
lens_scene,primer_cosmos,110,149.929262,2.409003,0.869158,0.030368,DEV,1182.336670,0.122606,True
lens_scene,primer_cosmos,111,149.930114,2.413521,0.951604,0.064014,REX,1081.139404,0.145805,True
lens_scene,primer_cosmos,112,149.930684,2.397908,0.958675,0.082500,EXP,256.392242,0.021589,True
lens_scene,primer_cosmos,113,149.931097,2.455450,0.672903,0.059702,REX,938.769409,0.110486,True
lens_scene,primer_cosmos,114,149.933898,2.467864,0.914132,0.070155,DEV,2734.777344,0.201549,True
lens_scene,primer_cosmos,115,149.935295,2.387006,0.425397,0.046087,REX,413.315460,0.262404,True
lens_scene,primer_cosmos,116,149.936621,2.447476,0.670105,0.035256,EXP,1706.743164,0.177236,True
lens_scene,primer_cosmos,117,149.937933,2.394119,0.754065,0.078601,EXP,291.368713,0.118548,True
lens_scene,primer_cosmos,118,149.937985,2.419290,0.328531,0.085229,EXP,343.832245,0.119847,True
lens_scene,primer_cosmos,119,149.938595,2.413854,0.834762,0.064461,EXP,1257.032715,0.092430,True
lens_scene,primer_cosmos,120,149.938813,2.433363,0.315730,0.020050,DEV,4092.498047,0.157758,True
lens_scene,primer_cosmos,121,149.939426,2.463857,0.380476,0.040068,SER,1457.533325,0.195818,True
lens_scene,primer_cosmos,122,149.939507,2.394483,0.876965,0.043059,SER,2690.534180,0.190259,True
lens_scene,primer_cosmos,123,149.941702,2.395761,0.785847,0.037751,EXP,1444.117676,0.072411,True
lens_scene,primer_cosmos,124,149.942261,2.432270,0.659292,0.083482,REX,104.280426,0.061371,True
lens_scene,primer_cosmos,125,149.945371,2.461756,0.416424,0.045455,REX,1982.527588,0.219538,True
lens_scene,primer_cosmos,126,149.946432,2.375023,0.957396,0.089802,DEV,1234.655884,0.183344,True
lens_scene,primer_cosmos,127,149.947770,2.422059,0.887695,0.062906,REX,421.521729,0.125802,True
lens_scene,primer_cosmos,128,149.948052,2.446531,0.540150,0.075796,EXP,186.536850,0.104326,True
lens_scene,primer_cosmos,129,149.948387,2.449401,0.731139,0.051576,REX,790.963318,0.156416,True
lens_scene,primer_cosmos,130,149.948957,2.421308,0.542249,0.084036,REX,320.504272,0.123702,True
lens_scene,primer_cosmos,131,149.950372,2.392981,0.700936,0.053193,REX,323.008759,0.107232,True
lens_scene,primer_cosmos,132,149.951781,2.391538,0.868431,0.052867,DEV,940.190186,0.041862,True
lens_scene,primer_cosmos,133,149.952336,2.427920,0.955966,0.070777,REX,166.549973,0.090145,True
lens_scene,primer_cosmos,134,149.952838,2.386322,0.958372,0.078029,DEV,2481.543945,0.131102,True
lens_scene,primer_cosmos,135,149.952993,2.432499,0.497129,0.034338,SER,933.733826,0.150866,True
lens_scene,primer_cosmos,136,149.953303,2.386534,0.853510,0.090044,DEV,646.900696,0.142867,True
lens_scene,primer_cosmos,137,149.954089,2.384828,0.930359,0.080318,DEV,820.704102,0.173354,True
lens_scene,primer_cosmos,138,149.954375,2.430303,0.428913,0.081808,EXP,164.912369,0.117696,True
lens_scene,primer_cosmos,139,149.954607,2.409222,0.491048,0.044926,SER,688.989380,0.090064,True
lens_scene,primer_cosmos,140,149.955513,2.385073,0.937306,0.069031,REX,1561.715332,0.194194,True
lens_scene,primer_cosmos,141,149.956314,2.456086,0.762968,0.070457,REX,722.612732,0.123521,True
lens_scene,primer_cosmos,142,149.956636,2.441886,0.425478,0.079146,SER,268.883057,0.106479,True
lens_scene,primer_cosmos,143,149.957170,2.435772,0.461032,0.056995,REX,125.833496,0.078024,True
lens_scene,primer_cosmos,144,149.957291,2.438338,0.364830,0.053447,SER,2121.741943,0.195810,True
lens_scene,primer_cosmos,145,149.958008,2.455636,0.452009,0.092019,REX,133.998611,0.162376,True
lens_scene,primer_cosmos,146,149.958184,2.407836,0.462845,0.024793,SER,1935.074951,0.164073,True
lens_scene,primer_cosmos,147,149.959488,2.403018,0.847584,0.055775,REX,573.550659,0.102308,True
lens_scene,primer_cosmos,148,149.959540,2.423173,0.248021,0.049466,EXP,914.778381,0.074955,True
lens_scene,primer_cosmos,149,149.959970,2.410298,0.991328,0.091965,EXP,319.065063,0.112084,True
lens_scene,primer_cosmos,150,149.961198,2.447638,0.885097,0.090191,REX,429.775696,0.170602,True
lens_scene,primer_cosmos,151,149.962118,2.457623,0.892078,0.094755,SER,965.714355,0.035298,True
lens_scene,primer_cosmos,152,149.962837,2.447502,0.881716,0.033586,SER,2109.636963,0.170276,True
lens_scene,primer_cosmos,153,149.963046,2.431464,0.576707,0.074292,SER,5123.503418,0.283264,True
lens_scene,primer_cosmos,154,149.963491,2.441752,0.733936,0.042404,SER,1055.797119,0.120136,True
lens_scene,primer_cosmos,155,149.963723,2.422803,0.869455,0.063270,EXP,2222.269775,0.104286,True
lens_scene,primer_cosmos,156,149.963940,2.444230,0.867357,0.043940,REX,1229.598755,0.165341,True
lens_scene,primer_cosmos,157,149.964368,2.453710,0.263039,0.052822,SER,1499.207642,0.189846,True
lens_scene,primer_cosmos,158,149.965068,2.423755,0.687789,0.084372,SER,101.525581,0.059693,True
lens_scene,primer_cosmos,159,149.965095,2.458618,0.906345,0.078859,REX,674.814819,0.225258,True
lens_scene,primer_cosmos,160,149.965338,2.452632,0.921510,0.099156,REX,233.377792,0.154056,True
lens_scene,primer_cosmos,161,149.966759,2.420305,0.932103,0.061056,REX,1312.154053,0.196476,True
lens_scene,primer_cosmos,162,149.967465,2.440054,0.401410,0.068803,REX,208.947754,0.048141,True
lens_scene,primer_cosmos,163,149.969977,2.461319,0.736470,0.093502,SER,754.584778,0.059579,True
lens_scene,primer_cosmos,164,149.970278,2.417403,0.877788,0.051017,REX,632.637573,0.158071,True
lens_scene,primer_cosmos,165,149.971496,2.459278,0.399486,0.032070,REX,2381.680908,0.209817,True
lens_scene,primer_cosmos,166,149.971939,2.460488,0.439302,0.081195,DEV,110.764244,0.095569,True
lens_scene,primer_cosmos,167,149.972299,2.389577,0.677529,0.040204,EXP,253.659973,0.093604,True
lens_scene,primer_cosmos,168,149.972388,2.438169,0.708480,0.038154,REX,1713.083984,0.196575,True
lens_scene,primer_cosmos,169,149.972866,2.457906,0.260319,0.074780,SER,518.049744,0.141423,True
lens_scene,primer_cosmos,170,149.973116,2.460844,0.071456,0.030722,SER,255.136932,0.052023,True
lens_scene,primer_cosmos,171,149.973252,2.417289,0.884380,0.086404,EXP,386.771759,0.102897,True
lens_scene,primer_cosmos,172,149.973369,2.448231,0.263768,0.009367,SER,3312.948730,0.120376,True
lens_scene,primer_cosmos,173,149.973809,2.375773,0.625578,0.053255,EXP,718.761169,0.083251,True
lens_scene,primer_cosmos,174,149.974222,2.383722,0.659335,0.041323,EXP,933.067200,0.106033,True
lens_scene,primer_cosmos,175,149.975142,2.427160,0.456237,0.044971,REX,1628.867676,0.092720,True
lens_scene,primer_cosmos,176,149.975673,2.461455,0.356210,0.029581,REX,7975.886719,0.269766,True
lens_scene,primer_cosmos,177,149.976054,2.410592,0.731668,0.046522,SER,1376.660645,0.065427,True
lens_scene,primer_cosmos,178,149.976275,2.405212,0.983742,0.086542,REX,213.545029,0.112387,True
lens_scene,primer_cosmos,179,149.976353,2.414986,0.692213,0.062656,EXP,108.500076,0.096056,True
lens_scene,primer_cosmos,180,149.976373,2.398759,0.677514,0.029712,SER,2103.449951,0.200526,True
lens_scene,primer_cosmos,181,149.978698,2.456506,0.279352,0.011093,SER,1988.716919,0.138218,True
lens_scene,primer_cosmos,182,149.978820,2.375923,0.623849,0.045842,SER,438.885162,0.131261,True
lens_scene,primer_cosmos,183,149.980972,2.387828,0.737392,0.034556,REX,2339.677246,0.179554,True
lens_scene,primer_cosmos,184,149.983613,2.456752,0.664712,0.075254,DEV,671.768494,0.225799,True
lens_scene,primer_cosmos,185,149.984288,2.420366,0.734777,0.096974,EXP,106.043327,0.100464,True
lens_scene,primer_cosmos,186,149.985290,2.376831,0.520668,0.092441,DEV,740.030457,0.206125,True
lens_scene,primer_cosmos,187,149.986270,2.415418,0.254127,0.036179,DEV,1219.324341,0.168724,True
lens_scene,primer_cosmos,188,149.986279,2.408344,0.345898,0.026542,REX,1386.848022,0.150501,True
lens_scene,primer_cosmos,189,149.986641,2.422499,0.724564,0.088366,REX,554.807312,0.074864,True
lens_scene,primer_cosmos,190,149.989200,2.383869,0.481999,0.075984,REX,114.888504,0.159790,True
lens_scene,primer_cosmos,191,149.989416,2.451689,0.282477,0.038922,SER,956.466919,0.143369,True
lens_scene,primer_cosmos,192,149.989921,2.402556,0.282401,0.045215,SER,361.379303,0.062694,True
lens_scene,primer_cosmos,193,149.991144,2.450918,0.685155,0.039340,DEV,808.262451,0.193048,True
lens_scene,primer_cosmos,194,149.992815,2.449320,0.611373,0.072148,SER,375.429871,0.090380,True
lens_scene,primer_cosmos,195,149.993015,2.418252,0.447010,0.065579,REX,278.022736,0.203550,True
lens_scene,primer_cosmos,196,149.993076,2.401442,0.962459,0.070969,REX,224.201523,0.046703,True
lens_scene,primer_cosmos,197,149.994020,2.448554,0.695627,0.052479,REX,1089.248413,0.127985,True
lens_scene,primer_cosmos,198,149.996103,2.455936,0.710968,0.037550,REX,938.443298,0.247296,True
lens_scene,primer_cosmos,199,149.997082,2.406557,0.317278,0.050734,SER,435.644775,0.084520,True
lens_scene,primer_cosmos,200,149.997366,2.416189,0.632047,0.099232,REX,3402.976318,0.276436,True
lens_scene,primer_cosmos,201,149.997469,2.431848,0.779045,0.043974,REX,1541.892334,0.207490,True
lens_scene,primer_cosmos,202,149.997641,2.453668,0.759006,0.065436,EXP,904.282104,0.151162,True
lens_scene,primer_cosmos,203,149.997814,2.389789,0.808199,0.022398,SER,2391.607910,0.171330,True
lens_scene,primer_cosmos,204,149.998629,2.389317,0.361793,0.065759,SER,286.163574,0.078799,True
lens_scene,primer_cosmos,205,149.999265,2.454159,0.684803,0.025849,REX,1432.585693,0.201693,True
lens_scene,primer_cosmos,206,150.002344,2.401317,0.961303,0.058468,REX,565.493835,0.089906,True
lens_scene,primer_cosmos,207,150.002420,2.386530,0.646984,0.075576,EXP,624.704468,0.101753,True
lens_scene,primer_cosmos,208,150.002680,2.455569,0.850377,0.073281,REX,531.030151,0.170836,True
lens_scene,primer_cosmos,209,150.003176,2.444303,0.879644,0.090443,DEV,193.616791,0.083165,True
lens_scene,primer_cosmos,210,150.003208,2.407484,0.474573,0.063014,DEV,2859.060547,0.035922,True
